Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
01/09/2018,Club Tijuana,Necaxa,1,0,H,2.02,3.45,4.04
01/09/2018,Cruz Azul,Veracruz,4,1,H,1.39,4.77,9.65
02/09/2018,Club Leon,U.N.A.M.- Pumas,1,2,A,1.74,4.05,4.74
02/09/2018,U.A.N.L.- Tigres,Atlas,3,1,H,1.5,4.12,8.08
02/09/2018,Guadalajara Chivas,Pachuca,1,3,A,2.48,3.28,3.08
02/09/2018,Toluca,Santos Laguna,2,1,H,2.12,3.58,3.56
02/09/2018,Lobos BUAP,Club America,0,2,A,4.16,3.73,1.91
15/09/2018,Veracruz,Toluca,2,3,A,4.12,3.43,1.99
15/09/2018,Queretaro,Puebla,0,1,A,2.24,3.22,3.57
16/09/2018,Club America,Monarcas,2,1,H,1.55,4.58,5.74
16/09/2018,Pachuca,U.A.N.L.- Tigres,1,1,D,2.84,3.14,2.73
16/09/2018,Necaxa,Cruz Azul,2,0,H,3.04,3.29,2.47
16/09/2018,Monterrey,Guadalajara Chivas,2,4,A,1.59,4.18,5.95
16/09/2018,U.N.A.M.- Pumas,Lobos BUAP,4,2,H,1.78,3.72,4.9
16/09/2018,Santos Laguna,Club Leon,3,0,H,2.25,3.47,3.28
17/09/2018,Atlas,Club Tijuana,0,1,A,2.58,3.14,3.02
22/09/2018,Monarcas,U.N.A.M.- Pumas,0,0,D,2.6,3.61,2.67
22/09/2018,Puebla,Club America,2,3,A,3.84,3.57,2.01
22/09/2018,Toluca,Necaxa,3,2,H,1.95,3.75,3.93
23/09/2018,Club Leon,Lobos BUAP,0,1,A,1.56,4.32,6.02
23/09/2018,Cruz Azul,Atlas,2,0,H,1.62,3.79,6.46
23/09/2018,Club Tijuana,Pachuca,1,0,H,2.17,3.49,3.51
23/09/2018,Guadalajara Chivas,Queretaro,1,1,D,2.15,3.26,3.83
24/09/2018,Santos Laguna,Veracruz,1,1,D,1.42,4.65,8.2
24/09/2018,U.A.N.L.- Tigres,Monterrey,0,0,D,2.07,3.4,3.94
29/09/2018,Veracruz,Club Leon,0,4,A,3.28,3.4,2.31
29/09/2018,Atlas,Toluca,2,0,H,3.17,3.6,2.28
29/09/2018,Queretaro,U.A.N.L.- Tigres,0,2,A,3.96,3.35,2.08
30/09/2018,Pachuca,Cruz Azul,3,1,H,2.66,3.15,2.97
30/09/2018,Necaxa,Santos Laguna,0,1,A,2.42,3.44,3.06
30/09/2018,Monterrey,Club Tijuana,3,0,H,1.8,3.67,4.84
30/09/2018,U.N.A.M.- Pumas,Puebla,2,2,D,1.95,3.56,4.17
30/09/2018,Lobos BUAP,Monarcas,3,1,H,2.4,3.62,2.95
01/10/2018,Club America,Guadalajara Chivas,1,1,D,1.64,4,5.67
06/10/2018,Santos Laguna,Atlas,3,1,H,1.84,3.56,4.78
06/10/2018,Veracruz,Necaxa,0,0,D,3.57,3.53,2.13
06/10/2018,Cruz Azul,Monterrey,2,1,H,2.32,3.23,3.42
07/10/2018,Club Leon,Monarcas,1,2,A,1.71,4.05,4.82
07/10/2018,U.A.N.L.- Tigres,Club America,2,3,A,2.13,3.33,3.72
07/10/2018,Guadalajara Chivas,U.N.A.M.- Pumas,1,2,A,2.31,3.34,3.35
07/10/2018,Club Tijuana,Queretaro,1,1,D,1.65,3.91,5.72
07/10/2018,Toluca,Pachuca,2,1,H,2.42,3.34,3.15
08/10/2018,Puebla,Lobos BUAP,2,2,D,2.26,3.39,3.4
20/10/2018,Atlas,Veracruz,4,3,H,1.67,3.91,5.52
20/10/2018,Queretaro,Cruz Azul,2,0,H,3.84,3.34,2.12
21/10/2018,Club America,Club Tijuana,3,0,H,1.58,4.25,5.82
21/10/2018,Pachuca,Santos Laguna,1,1,D,2.09,3.7,3.52
21/10/2018,Necaxa,Club Leon,0,2,A,2.74,3.49,2.64
21/10/2018,Monterrey,Toluca,2,1,H,2.03,3.56,3.87
21/10/2018,Lobos BUAP,Guadalajara Chivas,1,1,D,2.97,3.21,2.61
21/10/2018,U.N.A.M.- Pumas,U.A.N.L.- Tigres,3,3,D,3.18,3.42,2.36
22/10/2018,Monarcas,Puebla,2,0,H,2.23,3.39,3.48
27/10/2018,Santos Laguna,Monterrey,1,0,H,2.52,3.43,2.92
27/10/2018,Veracruz,Pachuca,2,3,A,4.02,3.69,1.95
27/10/2018,Necaxa,Atlas,2,2,D,2.08,3.48,3.79
28/10/2018,Guadalajara Chivas,Monarcas,1,2,A,2.04,3.57,3.82
28/10/2018,U.A.N.L.- Tigres,Lobos BUAP,2,2,D,1.31,5.89,8.98
28/10/2018,Cruz Azul,Club America,0,0,D,3.3,3.19,2.42
28/10/2018,Club Tijuana,U.N.A.M.- Pumas,0,1,A,1.83,3.84,4.38
28/10/2018,Toluca,Queretaro,4,0,H,1.7,4.01,5
29/10/2018,Club Leon,Puebla,0,4,A,1.62,4.36,5.25
03/11/2018,Monarcas,U.A.N.L.- Tigres,0,2,A,3.74,3.61,2.05
03/11/2018,Puebla,Guadalajara Chivas,2,2,D,2.63,3.29,2.88
03/11/2018,Pachuca,Necaxa,6,2,H,1.61,4.02,5.98
04/11/2018,Club America,Toluca,1,1,D,2.09,3.44,3.81
04/11/2018,Monterrey,Veracruz,2,0,H,1.37,4.84,9.6
04/11/2018,Lobos BUAP,Club Tijuana,3,1,H,2.67,3.46,2.73
04/11/2018,U.N.A.M.- Pumas,Cruz Azul,1,2,A,3.04,3.32,2.49
04/11/2018,Queretaro,Santos Laguna,2,1,H,3.04,3.38,2.47
05/11/2018,Atlas,Club Leon,0,0,D,2.75,3.66,2.54
10/11/2018,Veracruz,Queretaro,2,2,D,3.12,3.43,2.38
10/11/2018,Atlas,Pachuca,0,0,D,3.29,3.52,2.25
10/11/2018,Cruz Azul,Lobos BUAP,2,1,H,1.54,4.2,6.66
11/11/2018,Club Leon,Guadalajara Chivas,0,1,A,2.22,3.38,3.5
11/11/2018,U.A.N.L.- Tigres,Puebla,6,1,H,1.4,5.02,7.79
11/11/2018,Club Tijuana,Monarcas,2,3,A,2.06,3.68,3.64
11/11/2018,Necaxa,Monterrey,1,1,D,3.23,3.43,2.33
11/11/2018,Toluca,U.N.A.M.- Pumas,0,1,A,1.83,3.63,4.68
12/11/2018,Santos Laguna,Club America,1,1,D,2.48,3.28,3.09
24/11/2018,Monarcas,Cruz Azul,0,2,A,2.38,3.49,3.09
24/11/2018,Puebla,Club Tijuana,0,0,D,2.41,3.36,3.13
24/11/2018,Queretaro,Necaxa,1,0,H,1.85,3.63,4.59
25/11/2018,Club America,Veracruz,4,1,H,1.33,5.56,8.93
25/11/2018,Pachuca,Club Leon,1,1,D,1.48,4.9,6.21
25/11/2018,Guadalajara Chivas,U.A.N.L.- Tigres,0,1,A,3.53,3.49,2.16
25/11/2018,Monterrey,Atlas,3,1,H,1.69,3.74,5.67
25/11/2018,U.N.A.M.- Pumas,Santos Laguna,1,1,D,2.61,3.5,2.77
25/11/2018,Lobos BUAP,Toluca,2,0,H,3.28,3.74,2.17
29/11/2018,Queretaro,Cruz Azul,0,2,A,3.43,3.1,2.4
29/11/2018,Monterrey,Santos Laguna,1,0,H,1.95,3.48,4.28
30/11/2018,Toluca,Club America,2,2,D,,,
30/11/2018,U.A.N.L.- Tigres,U.N.A.M.- Pumas,2,1,H,,,
02/12/2018,Cruz Azul,Queretaro,1,1,D,1.68,3.74,5.82
02/12/2018,Santos Laguna,Monterrey,0,2,A,2.38,3.23,3.32
02/12/2018,U.N.A.M.- Pumas,U.A.N.L.- Tigres,3,1,H,3.14,3.44,2.37
03/12/2018,Club America,Toluca,3,2,H,2.15,3.36,3.72
06/12/2018,Monterrey,Cruz Azul,1,0,H,2.29,3.08,3.7
07/12/2018,U.N.A.M.- Pumas,Club America,1,1,D,3.4,3.33,2.29
09/12/2018,Cruz Azul,Monterrey,1,0,H,2.09,3.36,3.91
10/12/2018,Club America,U.N.A.M.- Pumas,6,1,H,1.83,3.6,4.73
14/12/2018,Club America,Cruz Azul,0,0,D,2.4,3.02,3.53
17/12/2018,Cruz Azul,Club America,0,2,A,2.9,2.84,3
05/01/2019,Monarcas,Toluca,1,3,A,2.94,3.46,2.49
05/01/2019,Puebla,Cruz Azul,1,1,D,3.46,3.26,2.3
05/01/2019,Queretaro,Atlas,1,2,A,2.44,3.21,3.23
